"""sky130_fd_sc_hd__dfbbn_1""","""Q""",0.168467
"""sky130_fd_sc_hd__dfbbn_1""","""Q_N""",0.153819
"""sky130_fd_sc_hd__dfbbn_2""","""Q""",0.31312
"""sky130_fd_sc_hd__dfbbn_2""","""Q_N""",0.288401
"""sky130_fd_sc_hd__dfbbp_1""","""Q""",0.168467
"""sky130_fd_sc_hd__dfbbp_1""","""Q_N""",0.153819
"""sky130_fd_sc_hd__dfrbp_1""","""Q""",0.16572
"""sky130_fd_sc_hd__dfrbp_1""","""Q_N""",0.171214
"""sky130_fd_sc_hd__dfrbp_2""","""Q""",0.253611
"""sky130_fd_sc_hd__dfrbp_2""","""Q_N""",0.287486
"""sky130_fd_sc_hd__dfrtn_1""","""Q""",0.174876
"""sky130_fd_sc_hd__dfrtp_1""","""Q""",0.174876
"""sky130_fd_sc_hd__dfrtp_2""","""Q""",0.322276
"""sky130_fd_sc_hd__dfrtp_4""","""Q""",0.551157
"""sky130_fd_sc_hd__dfsbp_1""","""Q""",0.166636
"""sky130_fd_sc_hd__dfsbp_1""","""Q_N""",0.178538
"""sky130_fd_sc_hd__dfsbp_2""","""Q""",0.311289
"""sky130_fd_sc_hd__dfsbp_2""","""Q_N""",0.319529
"""sky130_fd_sc_hd__dfstp_1""","""Q""",0.167551
"""sky130_fd_sc_hd__dfstp_2""","""Q""",0.311289
"""sky130_fd_sc_hd__dfstp_4""","""Q""",0.622568
"""sky130_fd_sc_hd__dfxbp_1""","""Q""",0.159312
"""sky130_fd_sc_hd__dfxbp_1""","""Q_N""",0.173045
"""sky130_fd_sc_hd__dfxbp_2""","""Q""",0.292063
"""sky130_fd_sc_hd__dfxbp_2""","""Q_N""",0.320444
"""sky130_fd_sc_hd__dfxtp_1""","""Q""",0.162058
"""sky130_fd_sc_hd__dfxtp_2""","""Q""",0.303049
"""sky130_fd_sc_hd__dfxtp_4""","""Q""",0.54658
"""sky130_fd_sc_hd__edfxbp_1""","""Q""",0.170298
"""sky130_fd_sc_hd__edfxbp_1""","""Q_N""",0.168467
"""sky130_fd_sc_hd__edfxtp_1""","""Q""",0.171214
"""sky130_fd_sc_hd__sdfbbn_1""","""Q""",0.168467
"""sky130_fd_sc_hd__sdfbbn_1""","""Q_N""",0.153819
"""sky130_fd_sc_hd__sdfbbn_2""","""Q""",0.31312
"""sky130_fd_sc_hd__sdfbbn_2""","""Q_N""",0.291148
"""sky130_fd_sc_hd__sdfbbp_1""","""Q""",0.168467
"""sky130_fd_sc_hd__sdfbbp_1""","""Q_N""",0.153819
"""sky130_fd_sc_hd__sdfrbp_1""","""Q""",0.181284
"""sky130_fd_sc_hd__sdfrbp_1""","""Q_N""",0.130015
"""sky130_fd_sc_hd__sdfrbp_2""","""Q""",0.253611
"""sky130_fd_sc_hd__sdfrbp_2""","""Q_N""",0.288401
"""sky130_fd_sc_hd__sdfrtn_1""","""Q""",0.1822
"""sky130_fd_sc_hd__sdfrtp_1""","""Q""",0.183115
"""sky130_fd_sc_hd__sdfrtp_2""","""Q""",0.328684
"""sky130_fd_sc_hd__sdfrtp_4""","""Q""",0.58137
"""sky130_fd_sc_hd__sdfsbp_1""","""Q""",0.168467
"""sky130_fd_sc_hd__sdfsbp_1""","""Q_N""",0.180369
"""sky130_fd_sc_hd__sdfsbp_2""","""Q""",0.309458
"""sky130_fd_sc_hd__sdfsbp_2""","""Q_N""",0.314036
"""sky130_fd_sc_hd__sdfstp_1""","""Q""",0.167551
"""sky130_fd_sc_hd__sdfstp_2""","""Q""",0.315867
"""sky130_fd_sc_hd__sdfstp_4""","""Q""",0.554819
"""sky130_fd_sc_hd__sdfxbp_1""","""Q""",0.159312
"""sky130_fd_sc_hd__sdfxbp_1""","""Q_N""",0.173045
"""sky130_fd_sc_hd__sdfxbp_2""","""Q""",0.290232
"""sky130_fd_sc_hd__sdfxbp_2""","""Q_N""",0.316782
"""sky130_fd_sc_hd__sdfxtp_1""","""Q""",0.162974
"""sky130_fd_sc_hd__sdfxtp_2""","""Q""",0.308543
"""sky130_fd_sc_hd__sdfxtp_4""","""Q""",0.539255
"""sky130_fd_sc_hd__sedfxbp_1""","""Q""",0.170298
"""sky130_fd_sc_hd__sedfxbp_1""","""Q_N""",0.168467
"""sky130_fd_sc_hd__sedfxbp_2""","""Q""",0.314036
"""sky130_fd_sc_hd__sedfxbp_2""","""Q_N""",0.301218
"""sky130_fd_sc_hd__sedfxtp_1""","""Q""",0.171214
"""sky130_fd_sc_hd__sedfxtp_2""","""Q""",0.315867
"""sky130_fd_sc_hd__sedfxtp_4""","""Q""",0.560313
